time,open,high,low,close,tick_volume,spread,real_volume
2025-09-12 08:15:00,0.59687,0.59691,0.59684,0.59689,46,2,0
2025-09-12 08:18:00,0.59688,0.59691,0.59685,0.59688,23,2,0
2025-09-12 08:21:00,0.59689,0.59701,0.59686,0.59687,76,3,0
2025-09-12 08:24:00,0.59688,0.59699,0.59686,0.59698,50,3,0
2025-09-12 08:27:00,0.59699,0.59703,0.59697,0.59697,36,2,0
2025-09-12 08:30:00,0.59696,0.59699,0.5969,0.59692,65,2,0
2025-09-12 08:33:00,0.59692,0.59693,0.59678,0.59687,51,2,0
2025-09-12 08:36:00,0.59685,0.5969,0.5968,0.59683,47,2,0
2025-09-12 08:39:00,0.59684,0.59699,0.59679,0.59697,65,2,0
2025-09-12 08:42:00,0.59698,0.59701,0.59674,0.59674,48,2,0
2025-09-12 08:45:00,0.59675,0.59684,0.59672,0.5968,54,3,0
2025-09-12 08:48:00,0.59681,0.59688,0.59674,0.5968,74,2,0
2025-09-12 08:51:00,0.59679,0.59683,0.59673,0.59675,37,2,0
2025-09-12 08:54:00,0.59675,0.59681,0.59663,0.59672,53,15,0
2025-09-12 08:57:00,0.59671,0.59678,0.5967,0.59674,52,15,0
2025-09-12 09:00:00,0.59673,0.59675,0.59646,0.5965,78,16,0
2025-09-12 09:03:00,0.5965,0.59659,0.59642,0.59642,70,16,0
2025-09-12 09:06:00,0.59641,0.59652,0.59637,0.59652,103,16,0
2025-09-12 09:09:00,0.59652,0.59657,0.59638,0.59644,89,16,0
2025-09-12 09:12:00,0.5965,0.59658,0.59645,0.59658,96,2,0
2025-09-12 09:15:00,0.59657,0.59658,0.59644,0.59644,91,2,0
2025-09-12 09:18:00,0.59642,0.59649,0.59638,0.59643,47,2,0
2025-09-12 09:21:00,0.59642,0.59648,0.59641,0.59643,56,2,0
2025-09-12 09:24:00,0.59642,0.59643,0.59628,0.59638,98,3,0
2025-09-12 09:27:00,0.59637,0.5964,0.59624,0.59627,107,2,0
2025-09-12 09:30:00,0.59626,0.59627,0.59614,0.59618,73,3,0
2025-09-12 09:33:00,0.59619,0.59634,0.59619,0.59623,82,3,0
2025-09-12 09:36:00,0.59624,0.59634,0.59623,0.59624,65,3,0
2025-09-12 09:39:00,0.59625,0.59634,0.59625,0.59632,62,3,0
2025-09-12 09:42:00,0.59633,0.59636,0.59629,0.59632,67,2,0
2025-09-12 09:45:00,0.59633,0.5964,0.59631,0.59636,56,2,0
2025-09-12 09:48:00,0.59637,0.59662,0.59637,0.5966,78,2,0
2025-09-12 09:51:00,0.59661,0.59661,0.59641,0.59651,67,2,0
2025-09-12 09:54:00,0.59649,0.59673,0.59645,0.5967,80,2,0
2025-09-12 09:57:00,0.59671,0.59678,0.59666,0.5967,88,2,0
2025-09-12 10:00:00,0.59671,0.59714,0.59667,0.59712,134,3,0
2025-09-12 10:03:00,0.59713,0.59714,0.59699,0.59708,100,3,0
2025-09-12 10:06:00,0.59707,0.59712,0.59695,0.59701,97,3,0
2025-09-12 10:09:00,0.597,0.5971,0.59688,0.59689,119,3,0
2025-09-12 10:12:00,0.5969,0.59693,0.59682,0.59686,82,2,0
2025-09-12 10:15:00,0.59687,0.59706,0.59687,0.59703,88,2,0
2025-09-12 10:18:00,0.59705,0.59717,0.59705,0.59715,77,2,0
2025-09-12 10:21:00,0.59716,0.59739,0.59715,0.59737,109,2,0
2025-09-12 10:24:00,0.59738,0.59741,0.59722,0.59727,116,2,0
2025-09-12 10:27:00,0.59729,0.59731,0.59721,0.59731,90,2,0
2025-09-12 10:30:00,0.5973,0.59731,0.59668,0.59668,146,2,0
2025-09-12 10:33:00,0.59671,0.59699,0.59667,0.59698,113,3,0
2025-09-12 10:36:00,0.59699,0.59708,0.59686,0.59688,109,2,0
2025-09-12 10:39:00,0.59689,0.59692,0.59677,0.59681,115,3,0
2025-09-12 10:42:00,0.59679,0.59694,0.59674,0.59687,99,2,0
2025-09-12 10:45:00,0.59688,0.59705,0.59683,0.59702,99,2,0
2025-09-12 10:48:00,0.59701,0.59701,0.59692,0.59696,80,2,0
2025-09-12 10:51:00,0.59695,0.59702,0.59687,0.59702,87,2,0
2025-09-12 10:54:00,0.59701,0.59703,0.59691,0.59696,78,3,0
2025-09-12 10:57:00,0.59695,0.59704,0.59687,0.5969,108,3,0
2025-09-12 11:00:00,0.59689,0.59689,0.59676,0.5968,124,2,0
2025-09-12 11:03:00,0.59679,0.59686,0.59674,0.59686,113,2,0
2025-09-12 11:06:00,0.59685,0.59687,0.59656,0.59656,131,2,0
2025-09-12 11:09:00,0.59657,0.59661,0.59635,0.59635,106,2,0
2025-09-12 11:12:00,0.59635,0.59645,0.59596,0.59604,152,2,0
2025-09-12 11:15:00,0.59603,0.59603,0.59577,0.5958,167,4,0
2025-09-12 11:18:00,0.59579,0.59589,0.59559,0.59576,150,4,0
2025-09-12 11:21:00,0.59575,0.59578,0.59559,0.59564,116,2,0
2025-09-12 11:24:00,0.59562,0.59581,0.59561,0.59576,130,2,0
2025-09-12 11:27:00,0.59577,0.59586,0.59576,0.59582,127,2,0
2025-09-12 11:30:00,0.59585,0.59603,0.59584,0.59586,147,2,0
2025-09-12 11:33:00,0.59587,0.59593,0.59558,0.59563,137,2,0
2025-09-12 11:36:00,0.59564,0.59568,0.59556,0.59564,110,2,0
2025-09-12 11:39:00,0.59563,0.59564,0.5955,0.59554,96,2,0
2025-09-12 11:42:00,0.59553,0.59554,0.59538,0.5954,107,2,0
2025-09-12 11:45:00,0.59539,0.59547,0.59536,0.59542,95,2,0
2025-09-12 11:48:00,0.59541,0.59541,0.59517,0.59526,125,2,0
2025-09-12 11:51:00,0.59527,0.59527,0.59501,0.59508,119,2,0
2025-09-12 11:54:00,0.59509,0.59517,0.59503,0.59514,87,2,0
2025-09-12 11:57:00,0.59515,0.5952,0.5951,0.59517,60,2,0
2025-09-12 12:00:00,0.59515,0.59526,0.59505,0.59521,127,2,0
2025-09-12 12:03:00,0.59522,0.59529,0.5951,0.59513,113,2,0
2025-09-12 12:06:00,0.59514,0.5952,0.59511,0.59511,68,2,0
2025-09-12 12:09:00,0.5951,0.59523,0.59502,0.59523,125,2,0
2025-09-12 12:12:00,0.59526,0.59534,0.59524,0.59534,105,2,0
2025-09-12 12:15:00,0.59535,0.59548,0.59528,0.59528,84,2,0
2025-09-12 12:18:00,0.59527,0.59533,0.59519,0.5952,99,2,0
2025-09-12 12:21:00,0.59519,0.59526,0.59517,0.59525,67,2,0
2025-09-12 12:24:00,0.59526,0.59546,0.59526,0.59544,60,2,0
2025-09-12 12:27:00,0.59545,0.59547,0.59533,0.59537,61,2,0
2025-09-12 12:30:00,0.59536,0.59552,0.59531,0.59535,79,2,0
2025-09-12 12:33:00,0.59536,0.59542,0.59526,0.59531,75,3,0
2025-09-12 12:36:00,0.59532,0.59539,0.59514,0.59516,94,2,0
2025-09-12 12:39:00,0.59517,0.59524,0.59515,0.59522,69,2,0
2025-09-12 12:42:00,0.59524,0.59525,0.59511,0.59517,69,2,0
2025-09-12 12:45:00,0.59518,0.59536,0.59517,0.59534,82,2,0
2025-09-12 12:48:00,0.59533,0.59535,0.59526,0.59533,49,2,0
2025-09-12 12:51:00,0.59532,0.59552,0.59532,0.59551,64,2,0
2025-09-12 12:54:00,0.59552,0.59561,0.59549,0.59553,59,2,0
2025-09-12 12:57:00,0.59552,0.59562,0.59548,0.59549,60,4,0
2025-09-12 13:00:00,0.5955,0.5956,0.5955,0.59559,60,2,0
2025-09-12 13:03:00,0.5956,0.59572,0.59557,0.59568,87,2,0
2025-09-12 13:06:00,0.59569,0.5958,0.59565,0.5958,79,3,0
2025-09-12 13:09:00,0.59579,0.59589,0.59574,0.59575,96,2,0
2025-09-12 13:12:00,0.59574,0.59578,0.59568,0.59569,48,2,0
2025-09-12 13:15:00,0.59568,0.59585,0.59563,0.59585,86,2,0
2025-09-12 13:18:00,0.59586,0.59588,0.59571,0.59571,81,2,0
2025-09-12 13:21:00,0.5957,0.59574,0.59565,0.59574,69,2,0
2025-09-12 13:24:00,0.59572,0.59578,0.59569,0.59574,53,2,0
2025-09-12 13:27:00,0.59573,0.59575,0.59564,0.59572,75,2,0
2025-09-12 13:30:00,0.59572,0.59577,0.59557,0.59558,71,2,0
2025-09-12 13:33:00,0.59559,0.59565,0.59552,0.59561,69,2,0
2025-09-12 13:36:00,0.5956,0.59563,0.59545,0.59547,67,2,0
2025-09-12 13:39:00,0.59548,0.59559,0.59545,0.59558,69,2,0
2025-09-12 13:42:00,0.59559,0.59572,0.59556,0.59565,58,2,0
2025-09-12 13:45:00,0.59566,0.59566,0.59547,0.59549,77,2,0
2025-09-12 13:48:00,0.59546,0.59558,0.59546,0.59558,45,2,0
2025-09-12 13:51:00,0.59559,0.59567,0.59557,0.59566,75,2,0
2025-09-12 13:54:00,0.59567,0.59578,0.59561,0.59577,73,2,0
2025-09-12 13:57:00,0.59578,0.59579,0.59544,0.59544,82,2,0
2025-09-12 14:00:00,0.59543,0.59553,0.59537,0.59552,88,4,0
2025-09-12 14:03:00,0.59553,0.59562,0.59552,0.59558,72,3,0
2025-09-12 14:06:00,0.59557,0.59561,0.59539,0.59539,71,3,0
2025-09-12 14:09:00,0.59538,0.59553,0.59538,0.59548,76,3,0
2025-09-12 14:12:00,0.59547,0.59556,0.59546,0.59553,60,3,0
2025-09-12 14:15:00,0.59552,0.59553,0.59541,0.59547,45,3,0
2025-09-12 14:18:00,0.59548,0.59551,0.59513,0.59523,96,3,0
2025-09-12 14:21:00,0.59524,0.59532,0.59519,0.59531,85,4,0
2025-09-12 14:24:00,0.59533,0.59538,0.59523,0.59523,83,4,0
2025-09-12 14:27:00,0.59524,0.59541,0.59524,0.59535,65,3,0
2025-09-12 14:30:00,0.59534,0.5955,0.59533,0.59542,78,3,0
2025-09-12 14:33:00,0.59541,0.59546,0.59537,0.59538,73,2,0
2025-09-12 14:36:00,0.59537,0.59537,0.59527,0.59529,65,2,0
2025-09-12 14:39:00,0.5953,0.59535,0.59512,0.59513,67,2,0
